Age,Gender,City,Position,Total years of experience,Seniority level,Your main technology,Yearly brutto salary in EUR,Main language at work,Company size,Company type
36,Male,Antwerpen,Manager,15,Middle,Not Relevant,91000,English,101-1000,Outsourcing
33,Male,Munich,Software Engineer,15,Senior,Python,90000,English,101-1000,Product
34,Male,Munich,Backend Developer,15,Senior,PHP,90000,English,1000+,Product
39,Male,Amsterdam,Mobile Developer,15,Senior,Swift,90000,English,51-100,Product
37,Male,Amsterdam,DevOps,15,Senior,Not Relevant,90000,English,1000+,Product
35,Male,Amsterdam,Backend Developer,15,Senior,C++,90000,English,up to 10,Product
36,Male,Berlin,Backend Developer,15,Senior,.NET,90000,English,101-1000,Product
37,Male,Stockholm,Database Developer (DBA),15,Senior,SQL,90000,English,51-100,Product
33,Male,Berlin,Software Architect,15,Senior,Javascript / Typescript,90000,English,1000+,Product
34,Male,Berlin,Software Engineer,14,Senior,Javascript / Typescript,90000,English,Nov-50,Startup
31,Female,Munich,Agile Master,14,Middle,None,90000,German,1000+,Product
34,Male,Berlin,Software Engineer,14,Lead,Java,90000,English,1000+,Product
46,Male,Berlin,Software Engineer,14,Senior,Javascript / Typescript,90000,English,51-100,Product
36,Female,Berlin,QA Engineer,14,Lead,Java,90000,English,Nov-50,Product
33,Male,Boeblingen,DevOps,14,Senior,Golang,90000,English,101-1000,Product
34,Male,Berlin,Software Engineer,14,Senior,C#,90000,English,101-1000,Product
34,Male,Munich,Solutions architect,14,Head,Blockchain,90000,English,101-1000,Startup
34,Male,Leipzig,Mobile Developer,14,Senior,Android,90000,English,101-1000,Consulting
37,Male,Berlin,Frontend Developer,14,Senior,Angular,90000,English,1000+,Consulting
33,Male,Berlin,Software Engineer,14,Senior,PHP,90000,English,51-100,Product
35,Male,Cologne,Software Engineer,14,Senior,C++,90000,English,101-1000,Product
40,Male,Stuttgart,Software Engineer,14,Senior,C,90000,German,1000+,Product
35,Male,Munich,Backend Developer,14,Senior,Java,90000,English,101-1000,Startup
36,Male,Berlin,Frontend Developer,14,Senior,Javascript / Typescript,90000,English,Nov-50,Startup
36,Male,Berlin,Backend Developer,14,Middle,Javascript,90000,English,101-1000,Product
40,Male,Berlin,Backend Developer,14,Lead,Spring,90000,English,101-1000,Product
31,Male,Munich,Software Engineer,14,Senior,C++,90000,English,101-1000,Consulting
37,Male,Munich,Software Engineer,14,Head,Javascript / Typescript,90000,English,up to 10,Product
36,Male,Frankfurt,Software Engineer,14,Senior,C++,90000,English,1000+,Product
33,Male,Munich,Frontend Developer,14,Senior,Javascript / Typescript,90000,German,Nov-50,Product
34,Male,City in Russia,Software Architect,14,Lead,Haskell,90000,English,51-100,Product
38,Female,Düsseldorf,Data Scientist,14,Middle,R,90000,German,1000+,Product
34,Male,Berlin,Backend Developer,14,Lead,Kotlin,90000,English,1000+,Startup
36,Male,Munich,DevOps,14,Middle,PowerShell,90000,German,101-1000,Consulting
32,Male,Hamburg,Backend Developer,14,Lead,Java,90000,English,101-1000,Startup
36,Male,Stockholm,Mobile Developer,14,Senior,Java,90000,English,1000+,Product
34,Male,Berlin,Backend Developer,14,Senior,Kotlin,90000,English,1000+,Product
35,Male,Munich,Software Engineer,14,Senior,C++,90000,English,1000+,Product
34,Male,Cologne,CTO,14,Lead,C#,90000,English,Nov-50,Product
40,Male,Berlin,Data Engineer,14,Middle,BI,90000,English,101-1000,Product
36,Male,Amsterdam,Mobile Developer,14,Senior,Swift,90000,English,Nov-50,Consulting
34,Male,Prague,Backend Developer,14,Lead,C#,90000,English,1000+,Product
36,Male,Berlin,Backend Developer,14,Senior,Java,90000,English,101-1000,Product
36,Male,Munich,Backend Developer,14,Senior,PHP,90000,Deutsch,101-1000,Product
37,Male,Berlin,Manager,14,Senior,Objective-C,90000,Russian,101-1000,Product
32,Male,Munich,DevOps,14,Senior,Google Cloud,90000,English,1000+,Product
40,Male,Frankfurt,SAP Consultant,14,Senior,Not Relevant,90000,English,1000+,Product
37,Male,Munich,Backend Developer,14,Senior,C++,90000,English,101-1000,Product
32,Male,Munich,Backend Developer,14,Lead,PHP,89570,Deutsch,1000+,Product
32,Male,Munich,Fullstack Developer,14,Lead,Scala,89570,English,101-1000,Product
36,Male,Berlin,Software Architect,14,Senior,PHP,89200,English,101-1000,Product
37,Male,Amsterdam,QA,14,Senior,AWS,89000,English,101-1000,Product
45,Male,Berlin,Data Engineer,14,Middle,Java,89000,English,51-100,Product
30,Male,Berlin,"CTO (CEO, CFO)",14,Head,C++,89000,English,Nov-50,Startup
37,Male,Munich,Backend Developer,14,Senior,C++,89000,English,101-1000,Product
33,Male,Berlin,QA,14,Senior,Python,88000,English,1000+,Product
34,Male,Berlin,Backend Developer,14,Senior,Rust,88000,English,51-100,Startup
38,Female,Stuttgart,Embedded Developer,14,Senior,C++,88000,Deutsch,101-1000,Product
36,Male,Berlin,Mobile Developer,14,Senior,Kotlin,88000,English,101-1000,Product
30,Male,Amsterdam,Data Engineer,14,Senior,Not Relevant,88000,English,1000+,Startup
40,Male,Berlin,Product Manager,13,Senior,SQL,88000,English,101-1000,Product
34,Male,Munich,Software Engineer,13,Lead,.NET,88000,English,51-100,Product
